3296	2580	207	0	
3299	2580	210	0	
3299	2580	213	0	
3290	2580	219	0	
3277	2576	219	0	
3280	2572	222	0	
3288	2572	219	0	
3277	2572	216	0	
3302	2572	213	0	
3290	2584	207	0	
3286	2588	204	0	
3286	2588	207	0	
3280	2592	198	0	
3280	2596	192	0	
3280	2600	189	0	
3299	2608	189	0	
3299	2612	189	0	
3283	2608	192	0	
3296	2600	198	0	
3277	2596	195	0	
3280	2596	198	0	
3286	2596	201	0	
3290	2600	201	0	
3280	2596	204	0	
3293	2592	207	0	
3286	2588	207	0	
3290	2596	213	0	
3299	2592	216	0	
3286	2596	216	0	
3280	2592	219	0	
3302	2596	219	0	
3299	2596	222	0	
3299	2592	222	0	
3299	2588	222	0	
3296	2592	228	0	
3296	2588	228	0	
3286	2584	228	0	
3277	2584	231	0	
3293	2592	234	0	
3293	2588	234	0	
3296	2592	240	0	
3296	2588	243	0	
3293	2584	243	0	
3277	2584	246	0	
3302	2584	249	0	
3277	2588	249	0	
3283	2592	246	0	
3280	2592	249	0	
3290	2588	252	0	
3277	2592	255	0	
3283	2588	255	0	
3283	2586	259	0	
3302	2584	255	0	
3288	2584	252	0	
3293	2580	255	0	
3283	2576	255	0	
3277	2572	255	0	
3277	2572	252	0	
3299	2576	252	0	
3280	2580	246	0	
3293	2576	249	0	
3288	2572	249	0	
3280	2576	246	0	
3288	2572	246	0	
3280	2576	243	0	
3283	2572	243	0	
3290	2572	240	0	
3302	2576	240	0	
3283	2580	240	0	
3280	2580	237	0	
3283	2576	237	0	
